ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x27_DFS_3,"(11, 27)",DFS,Vertical,Q-Student,0.11,0.57,11,48,95
11x27_DFS_3,"(11, 27)",DFS,Vertical,Q-Explorer,0.11,0.57,11,48,325
11x29_AB_1,"(11, 29)",AldousBroder,Vertical,Q-Determinative,0.11,0.56,24,36,160
11x29_AB_1,"(11, 29)",AldousBroder,Vertical,Q-Student,0.11,0.56,24,36,63
11x29_AB_1,"(11, 29)",AldousBroder,Vertical,Q-Explorer,0.11,0.56,24,36,260
11x29_AB_2,"(11, 29)",AldousBroder,Vertical,Q-Determinative,0.11,0.56,23,32,121
11x29_AB_2,"(11, 29)",AldousBroder,Vertical,Q-Student,0.11,0.56,23,32,59
11x29_AB_2,"(11, 29)",AldousBroder,Vertical,Q-Explorer,0.11,0.56,23,32,256
11x29_AB_3,"(11, 29)",AldousBroder,Vertical,Q-Determinative,0.11,0.56,20,24,80
11x29_AB_3,"(11, 29)",AldousBroder,Vertical,Q-Student,0.11,0.56,20,24,38
11x29_AB_3,"(11, 29)",AldousBroder,Vertical,Q-Explorer,0.11,0.56,20,24,206
11x29_BT_1,"(11, 29)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,20,24,85
11x29_BT_1,"(11, 29)",BinaryTree,Vertical,Q-Student,0.11,0.57,20,24,36
11x29_BT_1,"(11, 29)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,20,24,202
11x29_BT_2,"(11, 29)",BinaryTree,Vertical,Q-Determinative,0.11,0.57,19,14,45
11x29_BT_2,"(11, 29)",BinaryTree,Vertical,Q-Student,0.11,0.57,19,14,18
11x29_BT_2,"(11, 29)",BinaryTree,Vertical,Q-Explorer,0.11,0.57,19,14,89
11x29_BT_3,"(11, 29)",BinaryTree,Vertical,Q-Determinative,0.11,0.56,15,16,1307
11x29_BT_3,"(11, 29)",BinaryTree,Vertical,Q-Student,0.11,0.56,15,8,3105
11x29_BT_3,"(11, 29)",BinaryTree,Vertical,Q-Explorer,0.11,0.56,15,20,382
